Page 9,,,,,,,
Postponed Business Until 8:00 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 13,Paxton,"Public Education
 8-4-0-3
 No: Allen, Bernal, Bryant, Hinojosa
 Absent: Dutton, Kerwin, Talarico",None,Support,Support,Support,
SB 7,Perry,"Natural Resources 
 10-0-0-3 
 Absent: Barry, Garcia J, Gonzalez M",Yes,Support ,Support,Support,Support: Farm Bureau
SB 1718,Sparks,"Culture, Recreation & Tourism
 8-5-0-2
 No: Anchia, Davis Y, Hernandez, Thompson, Turner
 Absent: Guillen, Smithee",None,Neutral,Oppose,Oppose,
SB 1567,Bettencourt,"Land & Resource Management
 5-1-0-3
 No: Lopez R
 Absent: Davis Y, Hinojosa, Hunter",None,Neutral,Support,Support/Amend,
SB 1233,Hancock,"Public Health
 7-4-0-2
 No: Bucy, Collier, Johnson, Simmons
 Absent: Campos, Jones J",None,Support,Support,Support,"Support: 1 Constituent, 
Support and Oppose Amendments: Texas Right to Life, Texas Alliance for Life"
SB 413,Middleton,"Public Education
 12-0-0-3
 Absent: Dutton, Kerwin, Talarico",None,Support,Support,,
SB 2177,Hagenbuch,"Homeland Security
 9-0-0-2
 Absent: Canales, Cortez",None,Support,Support,,
Postponed Business Until 8:01 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 30,Schwertner,"Judiciary & Civil Jurisprudence
 7-4-0-0
 No: Dutton, Flores, Gonzalez J, Johnson",None,Support,Support,,"Support: Farm Bureau, 3 Constituents, TLR
Opposed: 9 Constituents"
Postponed Business Until 9:00 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 2024,Perry,"Public Health
 12-0-0-1
 Absent: Olcott",None,Support,Support,,"Support: TMA, Vapor Technology Association"
Page 10,,,,,,,
SJR 1,Huffman,"Criminal Justice
Ayes=6, Nays=0, Absent=1",None,Support,Support,Support,
Postponed Business Until 10:00 Am,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SCR 27,Eckhardt,"Culture, Recreation & Tourism
Ayes=6, Nays=0, Absent=3",None,Neutral,,,
SB 2018,Paxton,"Ways & Means
 9-3-0-1
 No: Gervin-Hawkin, Martinez Fischer, Perez
 Absent: Bernal",Yes,Neutral,Support,Support,
SB 1580,Blanco,"Public Health
 12-0-0-1
 Absent: Olcott",None,Support,Neutral,,
SB 2121,Johnson,"Trade, Workforce, Economic Development
 9-0-0-2
 Absent: Bhojani, Longoria",None,Neutral,Support,,
SB 1049,King,"Public Education
 11-1-0-3
 No: Bryant
 Absent: Dutton, Kerwin, Talarico",None,Neutral,Support,Support,
SB 1266,Alvarado,"Human Services
 7-0-0-4
 Absent: Davis A, Rose, Schatzline, Swanson",None,Neutral,Support,,
SB 1400,Kolkhorst,"Higher Education
 8-2-0-1
 No: Shofner. Tinderholt
 Absent: Lalani",None,Neutral,Neutral,,
SB 1596,Hagenbuch,"Homeland Security
 8-2-0-1
 No: Canales, Lopez R
 Absent: Cortez",None,Support,Support,Support,Support: 4 Constituents
SB 2753,Hall,"Elections
 8-0-0-1
 Absent: Plesa",None,Support,Support,Support,
SB 2221,Parker,"Trade, Workforce & Economic Development
 9-0-0-2
 Absent: Bhojani, Longoria",Yes,Support,Support,,Support: TAB
SB 1719,Hughes,"Judiciary & Civil Jurisprudence
 6-5-0-0
 No: Johnson, Dutton, Moody, Jessica Gonzalez, Flores",None,Neutral,Support,,
Page 11,,,,,,,
Resolutions Calendar Senate Resolutions,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SCR 9,Hughes,"State Affairs
 9-5-0-1
 No: Hernandez, Anchia, Yvonne Davis, Thompson, Turner
 Absent: Smithee",None,Support,,,
